run	model_name	SVM	KNN	TRE	SGD	average
01	models/schöch-agg/mean_shifted/090tp-6000it-7000in.tsv.gz	0.849	0.836	0.762	0.859	0.827
01	models/schöch-agg/mean_shifted/100tp-6000it-0050in.tsv.gz	0.842	0.828	0.818	0.859	0.837
01	models/schöch-agg/mean_shifted/100tp-6000it-0100in.tsv.gz	0.842	0.829	0.847	0.862	0.845
01	models/schöch-agg/mean_shifted/100tp-6000it-0300in.tsv.gz	0.842	0.841	0.767	0.857	0.827
01	models/schöch-agg/mean_shifted/100tp-6000it-0500in.tsv.gz	0.842	0.834	0.803	0.867	0.836
01	models/schöch-agg/mean_shifted/100tp-6000it-1000in.tsv.gz	0.842	0.831	0.798	0.852	0.831
01	models/schöch-agg/mean_shifted/100tp-6000it-2000in.tsv.gz	0.857	0.846	0.778	0.857	0.834
01	models/schöch-agg/mean_shifted/100tp-6000it-3000in.tsv.gz	0.839	0.854	0.818	0.854	0.841
01	models/schöch-agg/mean_shifted/100tp-6000it-7000in.tsv.gz	0.854	0.849	0.759	0.862	0.831
01	models/schöch-agg/mean_shifted_std/050tp-6000it-0050in.tsv.gz	0.821	0.831	0.826	0.831	0.827
01	models/schöch-agg/mean_shifted_std/050tp-6000it-0100in.tsv.gz	0.839	0.844	0.813	0.824	0.830
01	models/schöch-agg/mean_shifted_std/050tp-6000it-0300in.tsv.gz	0.829	0.846	0.806	0.834	0.829
01	models/schöch-agg/mean_shifted_std/050tp-6000it-0500in.tsv.gz	0.841	0.839	0.841	0.847	0.842
01	models/schöch-agg/mean_shifted_std/050tp-6000it-1000in.tsv.gz	0.841	0.831	0.813	0.841	0.832
01	models/schöch-agg/mean_shifted_std/050tp-6000it-2000in.tsv.gz	0.831	0.829	0.811	0.854	0.831
01	models/schöch-agg/mean_shifted_std/050tp-6000it-3000in.tsv.gz	0.841	0.824	0.824	0.844	0.833
01	models/schöch-agg/mean_shifted_std/050tp-6000it-7000in.tsv.gz	0.854	0.841	0.821	0.836	0.838
01	models/schöch-agg/mean_shifted_std/060tp-6000it-0050in.tsv.gz	0.847	0.821	0.813	0.859	0.835
01	models/schöch-agg/mean_shifted_std/060tp-6000it-0100in.tsv.gz	0.834	0.826	0.826	0.834	0.830
01	models/schöch-agg/mean_shifted_std/060tp-6000it-0300in.tsv.gz	0.852	0.826	0.808	0.872	0.839
01	models/schöch-agg/mean_shifted_std/060tp-6000it-0500in.tsv.gz	0.846	0.826	0.762	0.834	0.817
